lat,lon,alt,date,city,country
41.0445556641,29.0064220428,36.2881469727,2016-04-03 14:13:20,Beşiktaş,Turkey
41.0122871399,28.9390449524,51.311214447,2016-04-07 12:05:20,Fatih,Turkey
41.0445327759,29.0065097809,39.2145385742,2016-04-07 21:09:20,Beşiktaş,Turkey
41.0093460083,28.9650058746,47.4478569031,2016-04-08 15:04:32,Fatih,Turkey
40.9889335632,28.8522644043,48.9738769531,2016-04-08 16:00:00,Bakırköy,Turkey
41.0080909729,28.9747314453,50.0,2016-04-08 17:04:00,Fatih,Turkey
41.0445861816,29.0064125061,41.348110199,2016-04-08 21:45:36,Beşiktaş,Turkey
41.0073051453,28.9772109985,40.7602043152,2016-04-09 08:12:48,Fatih,Turkey
41.0465126038,29.0218887329,53.8695411682,2016-04-11 10:37:52,Beşiktaş,Turkey
41.0117912292,28.9835338593,46.6359710693,2016-04-13 07:21:36,Fatih,Turkey
41.0242118835,28.9597911835,18.8237056732,2016-04-13 14:13:20,Fatih,Turkey
41.0445480347,29.0064296722,47.5365333557,2016-04-13 15:53:36,Beşiktaş,Turkey
40.8807907104,29.0988063812,24.2873249054,2016-04-14 08:36:16,Adalar,Turkey
40.8757133484,29.126537323,24.2873249054,2016-04-14 08:49:04,Adalar,Turkey
40.8385391235,29.1149692535,19.0,2016-04-14 09:57:20,Adalar,Turkey
40.8722038269,29.1334896088,19.0,2016-04-14 10:40:00,Adalar,Turkey
40.9846076965,29.0213069916,-5.59161376953,2016-04-14 13:54:08,Kadıköy,Turkey
41.0416183472,29.0101776123,54.0,2016-04-15 22:38:56,Beşiktaş,Turkey
41.0126991272,28.960565567,55.0309638977,2016-04-17 10:42:08,Fatih,Turkey
41.0470085144,29.0222358704,50.4512634277,2016-04-17 14:02:40,Beşiktaş,Turkey
41.020866394,28.959602356,45.3401527405,2016-04-18 06:36:48,Fatih,Turkey
41.0446128845,29.0065879822,9.71905517578,2016-04-18 09:46:40,Beşiktaş,Turkey
41.0410842896,28.9866886139,94.6833496094,2016-04-18 10:50:40,Şişli,Turkey
41.0372962952,29.0438156128,13.7508592606,2016-04-20 10:03:44,Üsküdar,Turkey
41.0220108032,29.0163383484,53.3593139648,2016-04-20 14:45:20,Üsküdar,Turkey
41.0445747375,29.0064239502,37.8090286255,2016-04-20 15:42:56,Beşiktaş,Turkey
40.9788208008,28.8183498383,24.3692703247,2016-04-21 11:05:36,Bakırköy,Turkey
41.0154190063,28.9795436859,45.474193573,2016-04-21 12:28:48,Fatih,Turkey
41.0444335938,29.0065441132,42.9263305664,2016-04-23 15:19:28,Beşiktaş,Turkey
